0xffc00000
SleepTask 0xFFC196d0
CreateTask 0xFFC0BBC0
ExitTask 0xFFC0BE50
AllocateMemory 0xFFDD7DF4
ExecuteEventProcedure 0xFFC0C278
FreeMemory 0xFFDD7DE0
GetSystemTime 0xFFDD7EFC
memcmp 0xFFC0E8F0
memcpy 0xFFC71BF4
memset 0xFFE0E37C
Close 0xFFC1502C
Open 0xFFC15004
Read 0xFFC0A448
Write 0xFFC150D8
Lseek 0xFFC1516C
strcmp 0xFFC0E888
strcpy 0xFFC0E834
strlen 0xFFC0E8CC
TakeSemaphore 0xFFC0BA5C
vsprintf 0xFFC0E7B4
GetZoomLensCurrentPoint 0xFFD02FDC
GetZoomLensCurrentPosition 0xFFD03B5C
RefreshPhysicalScreen 0xFFD62184
GetPropertyCase 0xFFC59c2c
SetPropertyCase 0xFFC59B24
VbattGet 0xFFC119A8
kbd_read_keys 0xFFC130CC
kbd_p1_f 0xFFC131D0
kbd_p1_f_cont 0xFFC131DC
kbd_p2_f 0xFFC12A1C
kbd_pwr_on 0xFFC37068
kbd_pwr_off 0xFFC370C0
kbd_read_keys_r2 0xFFC36B14
mkdir 0xFFC153D0
GetParameterData 0xFFD1C5B8
SetParameterData 0xFFD1C528
IsStrobeChargeCompleted 0xFFC974E4
open 0xFFC0A1B0
write 0xFFC0A4A8
close 0xFFC0A260
lseek 0xFFC1516C
read 0xFFC0A448
Fopen_Fut 0xFFC149D0
Fwrite_Fut 0xFFC14B10
Fclose_Fut 0xFFC14a10
Fread_Fut 0xFFC14ABC
Fseek_Fut 0xFFC14BB0
Remove 0xFFC15074
rename 0xFFC15100
GetDrive_ClusterSize 0xFFC3F4C4
GetDrive_TotalClusters 0xFFC3F4F8
GetDrive_FreeClusters 0xFFC3F564
LockMainPower 0xFFC5BF6C
UnlockMainPower 0xFFC5BEC0
GetCurrentAvValue 0xFFCFFCA8
MoveFocusLensToDistance 0xFFDA6578
MoveZoomLensWithPoint 0xFFD03A88
_log 0xFFE3C8DC
_log10 0xFFE3B820
_pow 0xFFE3B990
_sqrt 0xFFE3DC44
malloc 0xFFC039DC
free 0xFFC03AB0
FreeUncacheableMemory 0xFFC1987C
AllocateUncacheableMemory 0xFFC19848
rand 0xFFC0E9F8
srand 0xFFC0E9EC
stat 0xFFC15238
openfastdir 0xFFDC1B04
readfastdir 0xFFDC1B98
closefastdir 0xFFDC1C68
qsort 0xFFD62A14
strncpy 0xFFC0E84C
strrchr 0xFFC71BCC
strncmp 0xFFC71B5C
strchr 0xFFC71BA8
strcat 0xFFC71B20
strtol 0xFFC1FC0C
time 0xFFC55F0C
LocalTime 0xFFC56058
UpdateMBROnFlash 0xFFC3F28C
opendir 0xFFDC1B04
ReadFastDir 0xFFDC1B98
closedir 0xFFDC1C68
NewTaskShell 0xFFC596B0
UIFS_WriteFirmInfoToFile 0xFFD4A934
SetAutoShutdownTime  0xFFC5BFE0
Fgets_Fut 0xFFC14B64 19
Feof_Fut 0xFFC14BFC 14
Fflush_Fut 0xFFC14C38 17
strftime 0xFFC71E68
mktime_ext 0xFFC72460 16
DeleteFile_Fut 0xFFC14894
RenameFile_Fut 0xFFC14840 17
MakeDirectory_Fut 0xFFC14908 28
SetFileTimeStamp 0xFFC15308 20
TurnOnBackLight 0xffc676dc
TurnOffBackLight 0xffc676f4
SetLogicalEventActive 0xFFC5BCD0 20
PostLogicalEventToUI 0xFFC5B69C
PostLogicalEventForNotPowerType 0xFFC5B650
SetCurrentCaptureModeType 0xFFC6214C 15
GetFocusLensSubjectDistance 0xFFCFDB3C
GetFocusLensSubjectDistanceFromLens 0xFFCFDE48 22
strtolx 0xFFC1FA10
Restart 0xFFC1B8A4
add_ptp_handler 0xFFCAD7D0
reboot_fw_update 0xFFDC6538
set_control_event 0xFFC5BAA4 20
PB2Rec 0xFFC5ECF8
Rec2PB 0xFFC5ED28
