0xFFC00000
AllocateMemory 0xFFC01B1C 32
close 0xFFEBBE5C
CreateTaskStrict 0xFFC123B8
DisableDispatch 0xFFC11074
EnableDispatch 0xFFC11100
ExitTask 0xFFC11610
FreeMemory 0xFFC01B28
GetSystemTime 0xFFC04B10
ints_disable 0xFFC0D5EC
ints_enable 0xFFC0D5F8
ioctl 0xFFEBBF9C
kbd_p1_f 0xFFC16184
kbd_p1_f_cont 0xFFC16190
kbd_p2_f 0xFFC16568
kbd_pwr_off 0xFFC1758C 7
kbd_pwr_on 0xFFC17564 10
kbd_read_keys_r2 0xFFC16FD8
lseek 0xFFEBBFA0
MakeDirectory 0xFFC5C9B0
memchr 0xFFEB599C
memcmp 0xFFEB59D0
memcpy 0xFFEB5A0C
memset 0xFFEB5A84
mkdir 0xFFC5C8F4
open 0xFFEBC4A0
PhySw_testgpio 0xFFC17658
ProtectFile 0xFFC55198
read 0xFFEBBEBC
strcmp 0xFFEB5AF4
strcpy 0xFFEB5C88
strlen 0xFFEB5DEC
TakeSemaphore 0xFFC10C60
taskIdListGet 0xFFECCAE0
taskLock 0xFFECD19C
taskName 0xFFECC9D8
taskResume 0xFFECCDBC
taskSuspend 0xFFECCBE8
taskUnlock 0xFFECD244
write 0xFFEBBF2C
taskCreateHookAdd 0xFFEC251C
taskDeleteHookAdd 0xFFEC2458
SleepTask 0xFFC11164
CreateTask 0xFFC11250
CreatePhysicalVram 0xFFD11EE4
DisplayImagePhysicalScreen 0xFFD112AC
ExecuteEventProcedure 0xFFC067F0
GetPropertyCase 0xFFC141A8 26
SetPropertyCase 0xFFC1408C 29
RefreshPhysicalScreen 0xFFD5F6C0
IsStrobeChargeCompleted 0xFFCEBE00
VbattGet 0xFFC1B4CC
GetZoomLensCurrentPosition 0xFFE53070
GetZoomLensCurrentPoint 0xFFE5305C
GetFocusLensSubjectDistance 0xFFE667F0
malloc 0xFFEBEE9C
free 0xFFEBEEA8
strcat 0xFFEB5AA4
strchr 0xFFEB5AD0
opendir 0xFFEB7E30
closedir 0xFFEB7DFC
readdir 0xFFEB7DC8
rewinddir 0xFFEB7DF0
isalpha 0xFFEB1D70
isdigit 0xFFEB1DA0
isspace 0xFFEB1E18
isupper 0xFFEB1E30
islower 0xFFEB1DD0
ispunct 0xFFEB1E00 
isxdigit 0xFFEB1E48
strncmp 0xFFEB5E50
strtol 0xFFEB566C
rand 0xFFEB5254
srand 0xFFEB5278
stat 0xFFEB7EC4
qsort 0xFFEB5230
localtime 0xFFEB65F0
GetCurrentAvValue 0xFFE71314 14
_pow 0xFFEA8F74
_log 0xFFEA83DC
_log10 0xFFEA8A84
_sqrt 0xFFEAD2C0
strncpy 0xFFEB5E94
strrchr 0xFFEB5F18
tolower 0xFFEB1E60
toupper 0xFFEB1E70
SetParameterData 0xFFD4E21C
GetParameterData 0xFFD4E2FC
rename 0xFFEBC4A8
chdir 0xFFEBC51C
time 0xFFEB733C
utime 0xFFEB7F58
iosDevAdd 0xFFEBD07C
iosDrvInstall 0xFFEBD340
Unmount_FileSystem 0xFFC5BAC8
Mount_FileSystem 0xFFC5B9C0
UpdateMBROnFlash 0xFFC5BC20
vsprintf 0xFFEB971C
Close 0xFFC5C70C
Open 0xFFC5C6E4
Read 0xFFC5C7A0
Write 0xFFC5C7AC
Remove 0xFFC5C72C
GetCurrentTargetDistance 0xFFE736BC
strpbrk 0xFFEB5EDC
AllocateUncacheableMemory 0xFFC048D8
FreeUncacheableMemory 0xFFC0490C
LockMainPower 0xFFD48EE0
UnlockMainPower 0xFFD48F94
MoveZoomLensWithPoint 0xFFE52F3C
MoveFocusLensToDistance 0xFFE7394C
Fclose_Fut 0xffc55b6c
Fopen_Fut 0xffc55b30
Fread_Fut 0xffc55c50
Fseek_Fut 0xffc55d38
Fwrite_Fut 0xffc55ca0
SetAutoShutdownTime 0xffd48dd8
PutInNdFilter 0xFFE71734
PutOutNdFilter 0xFFE7177C 
UnsetZoomForMovie 0xFFD81B80 
Fgets_Fut 0xFFC55CF0 18
Feof_Fut 0xFFC55D80 14
Fflush_Fut 0xFFC55DB8
strftime 0xFFEB7310 8
mktime 0xFFEB67B8
RenameFile_Fut 0xFFC559AC
DeleteFile_Fut 0xFFC55A2C 12
MakeDirectory_Fut 0xFFC55AB8
errnoOfTaskGet 0xFFEB85C8
iosDevFind 0xFFEBD008
TurnOnBackLight 0xffd93428
TurnOffBackLight 0xffd93454
iosDevDelete 0xFFEBD054
SetLogicalEventActive 0xFFD46F7C 23
PostLogicalEventToUI 0xFFD44F90
PostLogicalEventForNotPowerType 0xFFD44F04
SetCurrentCaptureModeType 0xFFD76E1C 16
strtoul 0xFFEB5814
Restart 0xFFC12800
add_ptp_handler 0xFFE222D0
