0xFFC00000
GetSystemTime 0xFFC04D38
GetPropertyCase 0xFFC14DEC
SetPropertyCase 0xFFC14C9C
RefreshPhysicalScreen 0xFFD8752C
DisplayImagePhysicalScreen 0xffd36fe0
VbattGet 0xFFC1C12C
GetZoomLensCurrentPosition 0xFFE8F684
GetZoomLensCurrentPoint 0xFFE8F670
GetFocusLensSubjectDistance 0xFFEA2F3C
malloc 0xFFF00AC0
free 0xFFF00ACC
AllocateMemory 0xFFC01AB0
FreeMemory 0xFFC01ABC
CreatePhysicalVram 0xFFD37D50
PhySw_testgpio 0xFFC1889C
rand 0xFFEF8360
srand 0xFFEF8384
IsStrobeChargeCompleted 0xFFD11B24
GetCurrentAvValue 0xFFEB3D50 18
_pow 0xFFEEFA14
_log 0xFFEF34EC
_log10 0xFFEEF88C
_sqrt 0xFFEF18E8
strncpy 0xFFEF8FA0
strrchr 0xFFEF9024
SetParameterData 0xFFD75FB0
GetParameterData 0xFFD76090
rename 0xFFEFE0CC
chdir 0xFFEFE140
time 0xFFEFA448
utime 0xFFEFB064
Mount_FileSystem 0xffc602ec
LockMainPower 0xFFD70F48
UnlockMainPower 0xFFD70FE0
MoveZoomLensWithPoint 0xFFE8F550
MoveFocusLensToDistance 0xFFEB64D4
GetFocusLensSubjectDistanceFromLens 0xffea34f0
SetAutoShutdownTime 0xffd70e4c 
PutInNdFilter 0xFFEB41D8
PutOutNdFilter 0xFFEB4220
